Route_ID,Day,Stop_Number,Route_Length_km,Traffic_Condition,Average_Speed_km_h,Fuel_Consumption_L_per_100km,Travel_Time_min,Stop_Time_Spent_min,Waste_Collected_kg
1,2,15,28.95,Medium,31.13,5.82,55.8,8.45,64.34
1,2,16,28.95,Medium,31.13,5.82,55.8,10.31,60.66
1,3,1,39.83,High,15.3,6.62,156.17,8.7,51.69
1,3,2,39.83,High,15.3,6.62,156.17,7.42,48.63
1,3,3,39.83,High,15.3,6.62,156.17,14.83,64.01
1,3,4,39.83,High,15.3,6.62,156.17,8.99,55.12
1,3,5,39.83,High,15.3,6.62,156.17,6.51,55.43
1,3,6,39.83,High,15.3,6.62,156.17,10.08,57.9
1,3,7,39.83,High,15.3,6.62,156.17,8.26,54.31
1,3,8,39.83,High,15.3,6.62,156.17,7.2,58.88
1,3,9,39.83,High,15.3,6.62,156.17,8.49,56.05
1,3,10,39.83,High,15.3,6.62,156.17,5.96,48.57
1,3,11,39.83,High,15.3,6.62,156.17,10.18,56.17
1,3,12,39.83,High,15.3,6.62,156.17,13.38,61.69
1,3,13,39.83,High,15.3,6.62,156.17,7.09,58.73
1,3,14,39.83,High,15.3,6.62,156.17,10.41,39.72
1,3,15,39.83,High,15.3,6.62,156.17,6.75,57.41
1,3,16,39.83,High,15.3,6.62,156.17,14.82,32.89
1,4,1,30.59,Low,50.0,5.08,36.71,6.89,59.65
1,4,2,30.59,Low,50.0,5.08,36.71,13.47,39.35
1,4,3,30.59,Low,50.0,5.08,36.71,13.56,59.21
1,4,4,30.59,Low,50.0,5.08,36.71,13.51,47.73
1,4,5,30.59,Low,50.0,5.08,36.71,14.36,56.53
1,4,6,30.59,Low,50.0,5.08,36.71,10.81,61.03
1,4,7,30.59,Low,50.0,5.08,36.71,8.72,40.15
1,4,8,30.59,Low,50.0,5.08,36.71,9.86,39.06
1,4,9,30.59,Low,50.0,5.08,36.71,9.48,49.95
1,4,10,30.59,Low,50.0,5.08,36.71,6.79,46.17
1,4,11,30.59,Low,50.0,5.08,36.71,8.66,58.67
1,4,12,30.59,Low,50.0,5.08,36.71,8.08,59.58
1,4,13,30.59,Low,50.0,5.08,36.71,10.43,72.73
1,4,14,30.59,Low,50.0,5.08,36.71,7.5,51.47
1,4,15,30.59,Low,50.0,5.08,36.71,10.9,49.89
1,4,16,30.59,Low,50.0,5.08,36.71,14.06,54.13
1,5,1,20.32,High,20.76,7.68,58.71,13.64,61.72
1,5,2,20.32,High,20.76,7.68,58.71,7.3,77.84
1,5,3,20.32,High,20.76,7.68,58.71,12.69,49.69
1,5,4,20.32,High,20.76,7.68,58.71,5.44,49.88
1,5,5,20.32,High,20.76,7.68,58.71,7.8,51.91
1,5,6,20.32,High,20.76,7.68,58.71,13.83,56.06
1,5,7,20.32,High,20.76,7.68,58.71,10.72,30.56
1,5,8,20.32,High,20.76,7.68,58.71,14.8,47.83
1,5,9,20.32,High,20.76,7.68,58.71,6.91,45.25
1,5,10,20.32,High,20.76,7.68,58.71,7.68,26.82
1,5,11,20.32,High,20.76,7.68,58.71,8.95,47.32
1,5,12,20.32,High,20.76,7.68,58.71,13.44,56.35
1,5,13,20.32,High,20.76,7.68,58.71,8.59,39.2
1,5,14,20.32,High,20.76,7.68,58.71,7.54,39.75
1,5,15,20.32,High,20.76,7.68,58.71,13.49,38.17
1,5,16,20.32,High,20.76,7.68,58.71,6.37,54.5
1,6,1,38.89,Low,41.67,4.15,56.01,7.56,42.67
1,6,2,38.89,Low,41.67,4.15,56.01,5.05,51.95
1,6,3,38.89,Low,41.67,4.15,56.01,11.28,44.44
1,6,4,38.89,Low,41.67,4.15,56.01,13.87,48.72
1,6,5,38.89,Low,41.67,4.15,56.01,5.28,34.39
1,6,6,38.89,Low,41.67,4.15,56.01,11.72,70.0
1,6,7,38.89,Low,41.67,4.15,56.01,8.28,51.5
1,6,8,38.89,Low,41.67,4.15,56.01,7.5,51.41
1,6,9,38.89,Low,41.67,4.15,56.01,5.39,53.54
1,6,10,38.89,Low,41.67,4.15,56.01,8.27,31.2
1,6,11,38.89,Low,41.67,4.15,56.01,13.28,62.1
1,6,12,38.89,Low,41.67,4.15,56.01,6.94,48.49
1,6,13,38.89,Low,41.67,4.15,56.01,9.11,42.34
1,6,14,38.89,Low,41.67,4.15,56.01,6.33,54.22
1,6,15,38.89,Low,41.67,4.15,56.01,14.7,36.92
1,6,16,38.89,Low,41.67,4.15,56.01,12.44,30.09
1,7,1,26.34,High,22.11,6.93,71.47,11.88,42.06
1,7,2,26.34,High,22.11,6.93,71.47,5.58,48.85
1,7,3,26.34,High,22.11,6.93,71.47,7.4,58.32
1,7,4,26.34,High,22.11,6.93,71.47,5.94,52.71
1,7,5,26.34,High,22.11,6.93,71.47,11.57,72.45
1,7,6,26.34,High,22.11,6.93,71.47,9.36,38.16
1,7,7,26.34,High,22.11,6.93,71.47,6.2,52.29
1,7,8,26.34,High,22.11,6.93,71.47,8.42,56.99
1,7,9,26.34,High,22.11,6.93,71.47,8.46,56.0
1,7,10,26.34,High,22.11,6.93,71.47,9.65,45.8
1,7,11,26.34,High,22.11,6.93,71.47,14.49,51.39
1,7,12,26.34,High,22.11,6.93,71.47,13.87,50.02
1,7,13,26.34,High,22.11,6.93,71.47,10.39,57.56
1,7,14,26.34,High,22.11,6.93,71.47,11.84,55.68
1,7,15,26.34,High,22.11,6.93,71.47,14.44,51.48
1,7,16,26.34,High,22.11,6.93,71.47,13.67,61.72
1,8,1,32.66,Medium,38.75,6.9,50.57,6.29,54.81
1,8,2,32.66,Medium,38.75,6.9,50.57,11.26,54.67
1,8,3,32.66,Medium,38.75,6.9,50.57,13.2,38.55
1,8,4,32.66,Medium,38.75,6.9,50.57,7.74,55.91
1,8,5,32.66,Medium,38.75,6.9,50.57,7.15,45.81
1,8,6,32.66,Medium,38.75,6.9,50.57,11.18,48.89
1,8,7,32.66,Medium,38.75,6.9,50.57,8.37,38.44
1,8,8,32.66,Medium,38.75,6.9,50.57,11.82,65.7
1,8,9,32.66,Medium,38.75,6.9,50.57,8.41,49.72
1,8,10,32.66,Medium,38.75,6.9,50.57,11.93,32.84
1,8,11,32.66,Medium,38.75,6.9,50.57,8.48,54.49
1,8,12,32.66,Medium,38.75,6.9,50.57,10.48,49.21
1,8,13,32.66,Medium,38.75,6.9,50.57,9.23,68.7
1,8,14,32.66,Medium,38.75,6.9,50.57,12.32,66.88
1,8,15,32.66,Medium,38.75,6.9,50.57,6.28,54.92
1,8,16,32.66,Medium,38.75,6.9,50.57,13.67,34.73
1,9,1,22.33,Medium,36.82,6.57,36.39,7.38,58.58
1,9,2,22.33,Medium,36.82,6.57,36.39,8.78,46.74
1,9,3,22.33,Medium,36.82,6.57,36.39,8.9,82.54
1,9,4,22.33,Medium,36.82,6.57,36.39,7.98,53.92
1,9,5,22.33,Medium,36.82,6.57,36.39,11.77,48.75
1,9,6,22.33,Medium,36.82,6.57,36.39,9.83,41.47
1,9,7,22.33,Medium,36.82,6.57,36.39,5.92,49.86
1,9,8,22.33,Medium,36.82,6.57,36.39,11.02,35.59
1,9,9,22.33,Medium,36.82,6.57,36.39,14.46,52.69
1,9,10,22.33,Medium,36.82,6.57,36.39,12.81,68.14
1,9,11,22.33,Medium,36.82,6.57,36.39,14.69,54.05
1,9,12,22.33,Medium,36.82,6.57,36.39,11.88,50.9
1,9,13,22.33,Medium,36.82,6.57,36.39,13.38,50.83
1,9,14,22.33,Medium,36.82,6.57,36.39,9.26,44.95
1,9,15,22.33,Medium,36.82,6.57,36.39,13.92,36.43
1,9,16,22.33,Medium,36.82,6.57,36.39,6.47,34.18
1,10,1,30.4,Medium,40.3,6.12,45.25,13.8,52.9
1,10,2,30.4,Medium,40.3,6.12,45.25,10.92,48.13
1,10,3,30.4,Medium,40.3,6.12,45.25,8.5,48.36
1,10,4,30.4,Medium,40.3,6.12,45.25,8.78,68.61
1,10,5,30.4,Medium,40.3,6.12,45.25,12.05,42.08
1,10,6,30.4,Medium,40.3,6.12,45.25,9.34,38.28
1,10,7,30.4,Medium,40.3,6.12,45.25,7.54,64.44
1,10,8,30.4,Medium,40.3,6.12,45.25,12.41,30.85
1,10,9,30.4,Medium,40.3,6.12,45.25,12.67,55.55
1,10,10,30.4,Medium,40.3,6.12,45.25,11.81,57.33
1,10,11,30.4,Medium,40.3,6.12,45.25,7.38,44.51
1,10,12,30.4,Medium,40.3,6.12,45.25,5.83,25.41
1,10,13,30.4,Medium,40.3,6.12,45.25,10.28,63.59
1,10,14,30.4,Medium,40.3,6.12,45.25,14.78,47.14
1,10,15,30.4,Medium,40.3,6.12,45.25,10.56,47.33
1,10,16,30.4,Medium,40.3,6.12,45.25,14.25,48.96
1,11,1,29.16,Medium,36.43,5.76,48.03,6.66,52.17
1,11,2,29.16,Medium,36.43,5.76,48.03,7.17,41.03
1,11,3,29.16,Medium,36.43,5.76,48.03,12.37,65.26
1,11,4,29.16,Medium,36.43,5.76,48.03,14.15,41.24
1,11,5,29.16,Medium,36.43,5.76,48.03,8.36,47.65
1,11,6,29.16,Medium,36.43,5.76,48.03,6.7,37.91
1,11,7,29.16,Medium,36.43,5.76,48.03,7.29,65.89
1,11,8,29.16,Medium,36.43,5.76,48.03,7.66,36.74
1,11,9,29.16,Medium,36.43,5.76,48.03,9.53,42.29
1,11,10,29.16,Medium,36.43,5.76,48.03,5.32,43.55
1,11,11,29.16,Medium,36.43,5.76,48.03,11.03,33.99
1,11,12,29.16,Medium,36.43,5.76,48.03,7.71,48.77
1,11,13,29.16,Medium,36.43,5.76,48.03,10.81,56.49
1,11,14,29.16,Medium,36.43,5.76,48.03,14.19,37.68
1,11,15,29.16,Medium,36.43,5.76,48.03,9.11,51.9
1,11,16,29.16,Medium,36.43,5.76,48.03,12.78,53.41
1,12,1,29.93,Low,51.86,4.66,34.63,8.93,52.59
1,12,2,29.93,Low,51.86,4.66,34.63,5.64,62.33
1,12,3,29.93,Low,51.86,4.66,34.63,5.37,52.19
1,12,4,29.93,Low,51.86,4.66,34.63,10.34,45.16
1,12,5,29.93,Low,51.86,4.66,34.63,12.5,51.66
1,12,6,29.93,Low,51.86,4.66,34.63,12.26,58.08
1,12,7,29.93,Low,51.86,4.66,34.63,12.57,36.49
1,12,8,29.93,Low,51.86,4.66,34.63,7.05,43.63
1,12,9,29.93,Low,51.86,4.66,34.63,7.51,41.28
1,12,10,29.93,Low,51.86,4.66,34.63,13.78,43.29
1,12,11,29.93,Low,51.86,4.66,34.63,12.57,49.98
1,12,12,29.93,Low,51.86,4.66,34.63,9.76,45.74
1,12,13,29.93,Low,51.86,4.66,34.63,13.31,59.37
1,12,14,29.93,Low,51.86,4.66,34.63,14.68,44.31
1,12,15,29.93,Low,51.86,4.66,34.63,5.88,54.14
1,12,16,29.93,Low,51.86,4.66,34.63,9.8,63.42
1,13,1,36.98,Low,43.05,5.57,51.55,14.03,55.25
1,13,2,36.98,Low,43.05,5.57,51.55,11.17,50.54
1,13,3,36.98,Low,43.05,5.57,51.55,11.37,52.4
1,13,4,36.98,Low,43.05,5.57,51.55,10.55,52.51
1,13,5,36.98,Low,43.05,5.57,51.55,10.47,45.46
1,13,6,36.98,Low,43.05,5.57,51.55,9.51,47.37
1,13,7,36.98,Low,43.05,5.57,51.55,10.24,55.35
1,13,8,36.98,Low,43.05,5.57,51.55,11.98,48.05
1,13,9,36.98,Low,43.05,5.57,51.55,13.42,64.2
1,13,10,36.98,Low,43.05,5.57,51.55,12.69,34.77
1,13,11,36.98,Low,43.05,5.57,51.55,7.09,62.06
1,13,12,36.98,Low,43.05,5.57,51.55,10.8,54.85
1,13,13,36.98,Low,43.05,5.57,51.55,9.6,29.37
1,13,14,36.98,Low,43.05,5.57,51.55,10.85,66.12
1,13,15,36.98,Low,43.05,5.57,51.55,6.8,41.87
1,13,16,36.98,Low,43.05,5.57,51.55,11.97,59.97
1,14,1,28.82,Low,47.34,5.01,36.53,11.02,56.16
1,14,2,28.82,Low,47.34,5.01,36.53,8.45,44.71
1,14,3,28.82,Low,47.34,5.01,36.53,8.48,50.51
1,14,4,28.82,Low,47.34,5.01,36.53,10.34,45.11
1,14,5,28.82,Low,47.34,5.01,36.53,8.56,37.82
1,14,6,28.82,Low,47.34,5.01,36.53,5.92,38.4
1,14,7,28.82,Low,47.34,5.01,36.53,9.81,51.23
1,14,8,28.82,Low,47.34,5.01,36.53,6.57,69.73
1,14,9,28.82,Low,47.34,5.01,36.53,8.77,51.82
1,14,10,28.82,Low,47.34,5.01,36.53,14.86,42.25
1,14,11,28.82,Low,47.34,5.01,36.53,10.37,49.65
1,14,12,28.82,Low,47.34,5.01,36.53,12.6,50.57
1,14,13,28.82,Low,47.34,5.01,36.53,10.31,47.47
1,14,14,28.82,Low,47.34,5.01,36.53,6.48,51.27
1,14,15,28.82,Low,47.34,5.01,36.53,6.33,58.67
1,14,16,28.82,Low,47.34,5.01,36.53,12.5,54.71
1,15,1,24.15,Medium,26.7,6.15,54.26,6.82,45.11
1,15,2,24.15,Medium,26.7,6.15,54.26,10.64,34.39
1,15,3,24.15,Medium,26.7,6.15,54.26,8.43,52.07
1,15,4,24.15,Medium,26.7,6.15,54.26,9.74,63.43
1,15,5,24.15,Medium,26.7,6.15,54.26,9.8,36.92
1,15,6,24.15,Medium,26.7,6.15,54.26,10.84,54.02
1,15,7,24.15,Medium,26.7,6.15,54.26,10.87,66.47
1,15,8,24.15,Medium,26.7,6.15,54.26,10.64,34.77
1,15,9,24.15,Medium,26.7,6.15,54.26,14.0,38.64
1,15,10,24.15,Medium,26.7,6.15,54.26,11.08,49.89
1,15,11,24.15,Medium,26.7,6.15,54.26,8.3,33.62
1,15,12,24.15,Medium,26.7,6.15,54.26,14.34,47.94
1,15,13,24.15,Medium,26.7,6.15,54.26,13.51,27.22
1,15,14,24.15,Medium,26.7,6.15,54.26,5.88,57.97
1,15,15,24.15,Medium,26.7,6.15,54.26,5.05,51.45
1,15,16,24.15,Medium,26.7,6.15,54.26,14.75,67.95
1,16,1,29.63,Low,47.83,5.42,37.16,10.35,62.42
1,16,2,29.63,Low,47.83,5.42,37.16,7.05,49.14
1,16,3,29.63,Low,47.83,5.42,37.16,14.68,40.9
1,16,4,29.63,Low,47.83,5.42,37.16,12.36,56.39
1,16,5,29.63,Low,47.83,5.42,37.16,10.3,59.87
1,16,6,29.63,Low,47.83,5.42,37.16,5.87,57.64
1,16,7,29.63,Low,47.83,5.42,37.16,10.06,48.02
1,16,8,29.63,Low,47.83,5.42,37.16,10.94,54.77
1,16,9,29.63,Low,47.83,5.42,37.16,8.69,70.67
1,16,10,29.63,Low,47.83,5.42,37.16,10.49,30.55
1,16,11,29.63,Low,47.83,5.42,37.16,7.02,44.17
1,16,12,29.63,Low,47.83,5.42,37.16,6.39,52.61
1,16,13,29.63,Low,47.83,5.42,37.16,5.03,49.28
1,16,14,29.63,Low,47.83,5.42,37.16,11.06,39.76
1,16,15,29.63,Low,47.83,5.42,37.16,12.94,44.4
1,16,16,29.63,Low,47.83,5.42,37.16,14.33,65.05
1,17,1,33.34,High,24.05,7.29,83.16,12.51,54.97
1,17,2,33.34,High,24.05,7.29,83.16,13.0,45.58
1,17,3,33.34,High,24.05,7.29,83.16,7.36,54.59
1,17,4,33.34,High,24.05,7.29,83.16,11.34,47.26
1,17,5,33.34,High,24.05,7.29,83.16,10.88,56.08
1,17,6,33.34,High,24.05,7.29,83.16,11.83,67.72
1,17,7,33.34,High,24.05,7.29,83.16,14.0,46.02
1,17,8,33.34,High,24.05,7.29,83.16,11.24,26.74
1,17,9,33.34,High,24.05,7.29,83.16,10.77,65.11
1,17,10,33.34,High,24.05,7.29,83.16,8.55,56.87
1,17,11,33.34,High,24.05,7.29,83.16,5.67,26.6
1,17,12,33.34,High,24.05,7.29,83.16,7.29,27.11
1,17,13,33.34,High,24.05,7.29,83.16,8.33,64.32
1,17,14,33.34,High,24.05,7.29,83.16,12.31,41.18
1,17,15,33.34,High,24.05,7.29,83.16,13.79,55.13
1,17,16,33.34,High,24.05,7.29,83.16,9.95,54.8
1,18,1,37.92,Medium,39.85,6.36,57.09,6.43,56.59
1,18,2,37.92,Medium,39.85,6.36,57.09,9.94,40.91
1,18,3,37.92,Medium,39.85,6.36,57.09,12.55,50.87
1,18,4,37.92,Medium,39.85,6.36,57.09,8.79,40.53
1,18,5,37.92,Medium,39.85,6.36,57.09,9.57,50.55
1,18,6,37.92,Medium,39.85,6.36,57.09,10.4,75.06
1,18,7,37.92,Medium,39.85,6.36,57.09,9.86,64.14
1,18,8,37.92,Medium,39.85,6.36,57.09,5.12,45.26
1,18,9,37.92,Medium,39.85,6.36,57.09,10.98,67.06
1,18,10,37.92,Medium,39.85,6.36,57.09,10.99,55.17
1,18,11,37.92,Medium,39.85,6.36,57.09,13.27,48.88
1,18,12,37.92,Medium,39.85,6.36,57.09,7.27,53.26
1,18,13,37.92,Medium,39.85,6.36,57.09,9.24,58.14
1,18,14,37.92,Medium,39.85,6.36,57.09,14.12,34.99
1,18,15,37.92,Medium,39.85,6.36,57.09,6.39,47.31
1,18,16,37.92,Medium,39.85,6.36,57.09,12.26,45.6
1,19,1,25.62,Low,46.02,4.7,33.4,5.69,63.02
1,19,2,25.62,Low,46.02,4.7,33.4,5.77,43.73
1,19,3,25.62,Low,46.02,4.7,33.4,6.86,45.05
1,19,4,25.62,Low,46.02,4.7,33.4,13.37,37.65
1,19,5,25.62,Low,46.02,4.7,33.4,7.27,39.01
1,19,6,25.62,Low,46.02,4.7,33.4,11.08,63.97
1,19,7,25.62,Low,46.02,4.7,33.4,7.06,43.1
1,19,8,25.62,Low,46.02,4.7,33.4,12.88,40.85
1,19,9,25.62,Low,46.02,4.7,33.4,9.15,52.46
1,19,10,25.62,Low,46.02,4.7,33.4,13.64,49.35
1,19,11,25.62,Low,46.02,4.7,33.4,9.81,58.07
1,19,12,25.62,Low,46.02,4.7,33.4,14.18,45.57
1,19,13,25.62,Low,46.02,4.7,33.4,14.13,50.83
1,19,14,25.62,Low,46.02,4.7,33.4,7.48,38.06
1,19,15,25.62,Low,46.02,4.7,33.4,5.34,52.77
1,19,16,25.62,Low,46.02,4.7,33.4,8.11,42.82
1,20,1,34.53,High,21.64,6.67,95.75,10.15,49.63
1,20,2,34.53,High,21.64,6.67,95.75,10.57,54.29
1,20,3,34.53,High,21.64,6.67,95.75,13.61,36.6
1,20,4,34.53,High,21.64,6.67,95.75,8.0,51.49
1,20,5,34.53,High,21.64,6.67,95.75,8.1,36.37
1,20,6,34.53,High,21.64,6.67,95.75,13.0,30.89
1,20,7,34.53,High,21.64,6.67,95.75,8.49,72.56
1,20,8,34.53,High,21.64,6.67,95.75,8.78,44.26
1,20,9,34.53,High,21.64,6.67,95.75,13.37,33.49
1,20,10,34.53,High,21.64,6.67,95.75,12.14,57.01
1,20,11,34.53,High,21.64,6.67,95.75,10.28,34.65
1,20,12,34.53,High,21.64,6.67,95.75,9.97,77.96
1,20,13,34.53,High,21.64,6.67,95.75,12.65,47.01
1,20,14,34.53,High,21.64,6.67,95.75,5.76,42.84
1,20,15,34.53,High,21.64,6.67,95.75,12.53,55.14
1,20,16,34.53,High,21.64,6.67,95.75,10.27,47.06
1,21,1,36.11,Low,34.13,4.61,63.49,10.06,43.76
1,21,2,36.11,Low,34.13,4.61,63.49,10.95,58.13
1,21,3,36.11,Low,34.13,4.61,63.49,13.87,31.19
1,21,4,36.11,Low,34.13,4.61,63.49,10.57,58.62
1,21,5,36.11,Low,34.13,4.61,63.49,14.89,56.23
1,21,6,36.11,Low,34.13,4.61,63.49,11.03,33.07
1,21,7,36.11,Low,34.13,4.61,63.49,5.87,40.99
1,21,8,36.11,Low,34.13,4.61,63.49,11.33,56.89
1,21,9,36.11,Low,34.13,4.61,63.49,6.23,54.67
1,21,10,36.11,Low,34.13,4.61,63.49,13.76,63.67
1,21,11,36.11,Low,34.13,4.61,63.49,14.11,59.58
1,21,12,36.11,Low,34.13,4.61,63.49,11.25,60.05
1,21,13,36.11,Low,34.13,4.61,63.49,8.63,44.93
1,21,14,36.11,Low,34.13,4.61,63.49,5.34,45.24
1,21,15,36.11,Low,34.13,4.61,63.49,12.74,60.16
1,21,16,36.11,Low,34.13,4.61,63.49,8.63,46.33
1,22,1,32.36,Low,45.83,4.51,42.37,14.85,36.66
1,22,2,32.36,Low,45.83,4.51,42.37,9.85,48.79
1,22,3,32.36,Low,45.83,4.51,42.37,10.12,58.7
1,22,4,32.36,Low,45.83,4.51,42.37,9.03,60.57
1,22,5,32.36,Low,45.83,4.51,42.37,7.18,39.99
1,22,6,32.36,Low,45.83,4.51,42.37,6.32,68.54
1,22,7,32.36,Low,45.83,4.51,42.37,14.01,61.03
1,22,8,32.36,Low,45.83,4.51,42.37,13.23,61.51
1,22,9,32.36,Low,45.83,4.51,42.37,10.3,49.92
1,22,10,32.36,Low,45.83,4.51,42.37,5.67,63.59
1,22,11,32.36,Low,45.83,4.51,42.37,9.05,68.11
1,22,12,32.36,Low,45.83,4.51,42.37,6.07,49.79
1,22,13,32.36,Low,45.83,4.51,42.37,6.4,41.01
1,22,14,32.36,Low,45.83,4.51,42.37,12.32,40.9
1,22,15,32.36,Low,45.83,4.51,42.37,7.51,49.01
1,22,16,32.36,Low,45.83,4.51,42.37,10.73,72.98
1,23,1,28.38,Low,50.72,4.79,33.58,8.54,64.55
1,23,2,28.38,Low,50.72,4.79,33.58,14.59,47.75
1,23,3,28.38,Low,50.72,4.79,33.58,14.16,62.08
1,23,4,28.38,Low,50.72,4.79,33.58,12.22,55.41
1,23,5,28.38,Low,50.72,4.79,33.58,8.97,51.33
1,23,6,28.38,Low,50.72,4.79,33.58,14.54,49.5
1,23,7,28.38,Low,50.72,4.79,33.58,7.7,38.81
1,23,8,28.38,Low,50.72,4.79,33.58,10.4,52.84
1,23,9,28.38,Low,50.72,4.79,33.58,13.46,47.19
1,23,10,28.38,Low,50.72,4.79,33.58,14.55,53.75
1,23,11,28.38,Low,50.72,4.79,33.58,9.74,39.51
1,23,12,28.38,Low,50.72,4.79,33.58,8.44,39.54
1,23,13,28.38,Low,50.72,4.79,33.58,12.05,32.19
1,23,14,28.38,Low,50.72,4.79,33.58,10.98,42.03
1,23,15,28.38,Low,50.72,4.79,33.58,5.78,49.24
1,23,16,28.38,Low,50.72,4.79,33.58,5.02,46.92
1,24,1,26.71,Low,48.32,5.51,33.16,10.21,56.92
1,24,2,26.71,Low,48.32,5.51,33.16,12.59,62.86
1,24,3,26.71,Low,48.32,5.51,33.16,12.24,50.4
1,24,4,26.71,Low,48.32,5.51,33.16,14.03,50.11
1,24,5,26.71,Low,48.32,5.51,33.16,11.47,47.17
1,24,6,26.71,Low,48.32,5.51,33.16,11.7,51.22
1,24,7,26.71,Low,48.32,5.51,33.16,5.44,37.49
1,24,8,26.71,Low,48.32,5.51,33.16,8.13,76.06
1,24,9,26.71,Low,48.32,5.51,33.16,6.21,41.81
1,24,10,26.71,Low,48.32,5.51,33.16,6.15,56.16
1,24,11,26.71,Low,48.32,5.51,33.16,9.22,56.57
1,24,12,26.71,Low,48.32,5.51,33.16,5.55,57.92
1,24,13,26.71,Low,48.32,5.51,33.16,9.55,71.91
1,24,14,26.71,Low,48.32,5.51,33.16,11.5,53.4
1,24,15,26.71,Low,48.32,5.51,33.16,8.65,41.44
1,24,16,26.71,Low,48.32,5.51,33.16,13.85,77.42
1,25,1,17.35,Medium,41.49,6.72,25.09,13.04,30.95
1,25,2,17.35,Medium,41.49,6.72,25.09,10.38,62.3
1,25,3,17.35,Medium,41.49,6.72,25.09,10.2,58.36
1,25,4,17.35,Medium,41.49,6.72,25.09,9.27,47.82
1,25,5,17.35,Medium,41.49,6.72,25.09,9.62,59.96
1,25,6,17.35,Medium,41.49,6.72,25.09,14.9,56.41
1,25,7,17.35,Medium,41.49,6.72,25.09,5.7,48.28
1,25,8,17.35,Medium,41.49,6.72,25.09,5.09,49.76
1,25,9,17.35,Medium,41.49,6.72,25.09,10.81,44.45
1,25,10,17.35,Medium,41.49,6.72,25.09,7.72,41.94
1,25,11,17.35,Medium,41.49,6.72,25.09,8.36,47.99
1,25,12,17.35,Medium,41.49,6.72,25.09,10.23,31.39
1,25,13,17.35,Medium,41.49,6.72,25.09,13.53,47.0
1,25,14,17.35,Medium,41.49,6.72,25.09,12.16,34.09
1,25,15,17.35,Medium,41.49,6.72,25.09,14.1,56.37
1,25,16,17.35,Medium,41.49,6.72,25.09,5.45,47.55
1,26,1,25.58,Low,41.76,5.4,36.76,10.89,58.32
1,26,2,25.58,Low,41.76,5.4,36.76,14.89,52.08
1,26,3,25.58,Low,41.76,5.4,36.76,12.43,48.51
1,26,4,25.58,Low,41.76,5.4,36.76,13.38,43.41
1,26,5,25.58,Low,41.76,5.4,36.76,7.31,48.72
1,26,6,25.58,Low,41.76,5.4,36.76,5.37,44.99
1,26,7,25.58,Low,41.76,5.4,36.76,14.57,54.69
1,26,8,25.58,Low,41.76,5.4,36.76,11.3,55.08
1,26,9,25.58,Low,41.76,5.4,36.76,7.16,75.02
1,26,10,25.58,Low,41.76,5.4,36.76,10.25,54.7
1,26,11,25.58,Low,41.76,5.4,36.76,7.6,31.69
1,26,12,25.58,Low,41.76,5.4,36.76,14.96,81.67
1,26,13,25.58,Low,41.76,5.4,36.76,13.97,72.36
1,26,14,25.58,Low,41.76,5.4,36.76,12.48,43.34
1,26,15,25.58,Low,41.76,5.4,36.76,5.35,27.54
1,26,16,25.58,Low,41.76,5.4,36.76,7.73,41.22
1,27,1,26.98,Low,44.85,5.25,36.09,12.35,47.99
